"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TITOLO_STUDIO","Highest level of education attained","CITTADINANZA","Citizenship","TIME","Select time","Value","Flag Codes","Flags"
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",211.578,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",211.097,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",651.879,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",648.784,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",154.293,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",163.529,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",548.997,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",539.568,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",249.088,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",251.388,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2019","2019",1815.835,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","1","males","Y_GE15","15 years and over","99","total","TOTAL","total","2020","2020",1814.367,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2019","2019",357.712,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","3","primary school certificate, no educational degree","TOTAL","total","2020","2020",355.314,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2019","2019",602.782,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","4","lower secondary school certificate","TOTAL","total","2020","2020",604.613,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2019","2019",155.893,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","5","upper secondary school certificate","TOTAL","total","2020","2020",139.919,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2019","2019",547.044,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","6","post secondary school certificate","TOTAL","total","2020","2020",551.524,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2019","2019",293.036,,
"ITC1","Piemonte","POP_15","population 15 years and over (thousands)","2","females","Y_GE15","15 years and over","11","tertiary (university, doctoral and specialization courses)","TOTAL","total","2020","2020",298.981,,
