"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2019","2019",13.1,,
"IT","Italy","14_WINF_POL_COL","colleagues","HSC","per 100 people with the same characteristics","2020","2020",12.9,,
"IT","Italy","14_WINF_POL_COL","colleagues","THV","thousands value","2019","2019",4933,,
"IT","Italy","14_WINF_POL_COL","colleagues","THV","thousands value","2020","2020",4983,,
"IT","Italy","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.2,,
"IT","Italy","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",1.1,,
"IT","Italy","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2019","2019",453,,
"IT","Italy","14_WINF_POL_ORGPOL","political organizations","THV","thousands value","2020","2020",406,,
"IT","Italy","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",307,,
"IT","Italy","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",259,,
"IT","Italy","14_WINF_POL_OTHER","other","THV","thousands value","2019","2019",1523,,
"IT","Italy","14_WINF_POL_OTHER","other","THV","thousands value","2020","2020",2225,,
"IT","Italy","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2019","2019",0.8,,
"IT","Italy","14_WINF_POL_ORGSIND"," trade unions","HSC","per 100 people with the same characteristics","2020","2020",0.7,,
"IT","Italy","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",4.1,,
"IT","Italy","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.8,,
"ITD3","Veneto","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2019","2019",1.1,,
"ITD3","Veneto","14_WINF_POL_ORGPOL","political organizations","HSC","per 100 people with the same characteristics","2020","2020",0.9,,
"ITD3","Veneto","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2019","2019",3.3,,
"ITD3","Veneto","14_WINF_POL_OTHM","other publications not weekly","HSC","per 100 people with the same characteristics","2020","2020",4,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2019","2019",3.6,,
"ITD1","Provincia Autonoma Bolzano / Bozen","14_WINF_POL_OTHER","other","HSC","per 100 people with the same characteristics","2020","2020",5.8,,
"ITD","Nord-est","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2019","2019",11.9,,
"ITD","Nord-est","14_WINF_POL_ACQ","acquaintances","HSC","per 100 people with the same characteristics","2020","2020",10.4,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2019","2019",47,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_ACQ","acquaintances","THV","thousands value","2020","2020",35,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2019","2019",7,,
"ITDA","Trentino Alto Adige / Südtirol","14_WINF_POL_ORGSIND"," trade unions","THV","thousands value","2020","2020",5,,
"ITD2","Provincia Autonoma Trento","14_WINF_POL_RADIO","radio","THV","thousands value","2019","2019",141,,
